,A new system has been ordered to replace the existing national dispatching,Abstract,Accession Number,Alternate Journal,An application of the framework disaggregates 2030 NO emissions from a national electricity model in an eight-state region under two climate scenarios,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Keywords_19,Keywords_20,Keywords_21,Keywords_22,Keywords_23,Keywords_24,Keywords_25,Keywords_26,Keywords_27,Keywords_28,Keywords_29,Keywords_30,Keywords_31,Keywords_32,Keywords_33,Keywords_34,Keywords_35,Keywords_36,Language,Learning trends are demonstrated for power restoration of,Many of the developed expert systems will be maintained or modified by utility engineers. This study proposes a methodology for maintaining rule-based expert systems. The following capabilities are incorporated,Notes,Our conclusions are the following,Pages,Record Number,Reference Type,Results using the proposed cumulant method are compared against results from Monte Carlo simulations (MCSs) based on a small test system. The Numerical Results section is broken into two sections,SIDE creates the single-line diagram and the general electric specifications. This process is guided by two techniques,Short Title,The Adams method is applied to the differential state variables,The algorithm is tested in two systems,The analysis and the procedure developed are tested on two systems,The constraints on emissions will be implemented by an allowance program,The new VBRP process is based on transmission system reliability evaluation and includes the following important elements,The new index was rigorously tested on different test systems. The results were obtained on a static two-bus test system and on the dynamic Belgian-French 32-bus test system that includes full dynamic models of all power-system components crucial to the voltage instability analysis. The results show advantages of the proposed index,The new simulator features,The optimal hydro scheduling problem is formulated as a large scale linear programming algorithm and is solved using a commercially-available linear programming package. The selected objective function requires minimization of the value of energy used by turbines and spilled during the study period.  Alternative formulations of the objective function are also discussed.  The system model incorporates the following elements,The proposed approach has been successfully tested on two power systems,The proposed infrastructure uses modern intelligent electronic devices (IEDs) named universal monitoring protection and control units (UMPCUs) that are capable of handling three key data sets for the component that they are attached to,The proposed procedure reduces the complexity by formulating the problem as a complementarity problem. A discussion is offered then on the specific problem of droop formulation,The proposed technique utilizes a combination of forecasts from several load forecasting models (sub-models). The parameter estimation may thus be split into two parts,The short note paper addresses new and evolving requirements placed on control center databases. Among the issues addressed are,The validity and effectiveness of the algorithm is verified by means of two examples,These algorithms have been designed by,This algorithm is applied to an important operational planning problem,This comparison demonstrates both theoretically and through simulation that,This paper addresses,This paper highlights the alternative to spilling wind to provide frequency response capability,This paper presents a multiobjective decision support model which allows the consideration of the main concerns that have an important role in LM,This system has the following features,Times Cited,Title,To this model we apply variable splitting and Lagrange relaxation to decompose the problem into one subproblem for the hydrological constraints and one subproblem for each hydro plant. In order to find feasible solutions we use a combination of network programming and heuristic search. The dual,Type 1,Type 2,URL,Volume,We found five aspects causing start-up costs,We propose a model composed of three elements,Year,probability,University,Country
1706,,"Modeling the dynamics of merchant generation investment in market environments can inform the making of policies whose goals are to promote investment in renewable generation while maintaining security of supply. Such models need to calculate expected output, costs and revenue of thermal generation subject to varying load and random generator outages in a power system with high penetrations of wind.",WOS:000310389000042,Ieee T Power Syst,,"Eager, D., Hobbs, B. F. and Bialek, J. W.","Univ Edinburgh, Inst Energy Syst, Edinburgh EH9 3JL, Midlothian, Scotland",26,10.1109/Tpwrs.2012.2190430,Nov,0885-8950,4,Ieee Transactions on Power Systems,mix of normals distribution,power generation economics,thermal power generation,wind power generation,electricity markets,simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,027YC,,2127-2137,7427,Journal Article,,,Dynamic Modeling of Thermal Generation Capacity Investment: Application to Markets With High Wind Penetration,,,,,,,,,,,,,,,,,,,,,,12,Dynamic Modeling of Thermal Generation Capacity Investment: Application to Markets With High Wind Penetration,,,,<Go to ISI>://WOS:000310389000042,27,,,2012,,Univ Edinburgh,Scotland
1787,,"Active Network Management schemes are being developed to accommodate larger volumes of renewable generation within distribution networks. Approaches typically manage only single technical constraints or are highly complex with extensive sensing and communications needs that bring cost, deployment, and operational risks. This work offers an alternative, decentralized approach for real-time management of local voltage and thermal constraints that avoids extensive sensing and communications. It controls generator active and reactive power output to overcome voltage and thermal issues near the point of connection. Results from time-series analyses reveal its effectiveness in managing both constraints and allowing greater production. It represents a potentially effective and fast-to-deploy alternative to more complex, integrated solutions.",WOS:000309996500052,Ieee T Power Syst,,"Sansawatt, T., Ochoa, L. F. and Harrison, G. P.","Univ Edinburgh, Sch Engn, Inst Energy Syst, Edinburgh EH9 3JL, Midlothian, Scotland",19,10.1109/Tpwrs.2012.2186470,Aug,0885-8950,3,Ieee Transactions on Power Systems,active distribution networks,congestion management,decentralized control,distributed generation (dg),generation curtailment,thermal constraints,voltage constraints,distributed generation,distribution networks,wind farm,penetration,connection,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,022XC,,1637-1645,7508,Journal Article,,,Smart Decentralized Control of DG for Voltage and Thermal Constraint Management,,,,,,,,,,,,,,,,,,,,,,30,Smart Decentralized Control of DG for Voltage and Thermal Constraint Management,,,,<Go to ISI>://WOS:000309996500052,27,,,2012,,Univ Edinburgh,Scotland
1802,,"This paper presents a methodology of optimizing power systems demand due to electric vehicle (EV) charging load. Following a brief introduction to the charging characteristics of EV batteries, a statistical model is presented for predicting the EV charging load. The optimization problem is then described, and the solution is provided based on the model. An example study is carried out with error and sensitivity analysis to validate the proposed method. Four scenarios of various combinations of EV penetration levels and charging modes are considered in the study. A series of numerical solutions to the optimization problem in these scenarios are obtained by serial quadratic programming. The results show that EV charging load has significant potential to improve the daily load profile of power systems if the charging loads are optimally distributed. It is demonstrated that flattened load profiles may be achieved at all EV penetration levels if the EVs are charged through a fast charging mode. In addition, the implementation of the proposed optimization is discussed with analyses on the impact of travel pattern and the willingness of customers.",WOS:000309996500051,Ieee T Power Syst,,"Zhang, P., Qian, K. J., Zhou, C. K., Stewart, B. G. and Hepburn, D. M.","Glasgow Caledonian Univ, Sch Engn & Built Environm, Glasgow G4 0BA, Lanark, Scotland",32,10.1109/Tpwrs.2012.2186595,Aug,0885-8950,3,Ieee Transactions on Power Systems,electric vehicle (ev),load modeling,power demand,quadratic programming,energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,022XC,,1628-1636,7523,Journal Article,,,A Methodology for Optimization of Power Systems Demand Due to Electric Vehicle Charging Load,,,,,,,,,,,,,,,,,,,,,,42,A Methodology for Optimization of Power Systems Demand Due to Electric Vehicle Charging Load,,,,<Go to ISI>://WOS:000309996500051,27,,,2012,,Glasgow Caledonian Univ,Scotland
1825,,"Electric vehicle (EV) numbers are expected to significantly increase in the coming years reflecting their potential to reduce air pollutants and greenhouse gas emissions. Charging such vehicles will impose additional demands on the electricity network but given the pattern of vehicle usage, the possibility exists to discharge the stored energy back to the grid when required, for example when lower than expected wind generation is available. Such vehicle-to-grid operation could see vehicle owners supplying the grid if they are rewarded for providing such services. This paper describes a model of an electric vehicle storage system integrated with a standardized power system (the IEEE 30-node power system model). A decision-making strategy is established for the deployment of the battery energy stored, taking account of the state of charge, time of day, electricity prices and vehicle charging requirements. Applying empirical data, the benefits to the network in terms of load balancing and the energy and cost savings available to the vehicle owner are analyzed. The results show that for the case under study, the EVs have only a minor impact on the network in terms of distribution system losses and voltage regulation but more importantly the vehicle owner's costs are roughly halved.",WOS:000303205500047,Ieee T Power Syst,,"Ma, Y. C., Houghton, T., Cruden, A. and Infield, D.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",21,10.1109/Tpwrs.2011.2178043,May,0885-8950,2,Ieee Transactions on Power Systems,electric vehicle,power flow,state of charge,vehicle to grid,load,flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,931GX,,1012-1020,7546,Journal Article,,,Modeling the Benefits of Vehicle-to-Grid Technology to a Power System,,,,,,,,,,,,,,,,,,,,,,44,Modeling the Benefits of Vehicle-to-Grid Technology to a Power System,,,,<Go to ISI>://WOS:000303205500047,27,,,2012,,Univ Strathclyde,Scotland
1849,,"This paper describes the current connection regime for distributed generation (DG) in the U. K. and presents a novel application of the optimal power flow (OPF) technique for automatic power flow management (PFM) to manage thermal constraints in distribution networks. OPF formulations have been used, in an off-line mode, as a power system planning tool for several years. The novel implementation of OPF for ""corrective"" PFM in an online operational mode, for MV distribution networks, is presented and tested in this paper. The authors demonstrate, through simulations conducted on a commercially available substation computer, that such an application of OPF can represent first on, last off generator connection agreements that reflect the current principles of access in the U. K. Two case study networks, a 33 kV and an 11 kV, provide the basis for assessment of the OPF-based PFM algorithm in terms of computation time to arrive at a solution in the event of a network thermal excursion and the level of DG curtailment necessary to meet network thermal limits. Assessments are made and fully discussed of the suitability for an OPF-based approach for distribution network management within an online network control scheme including discussion of the important consideration of control robustness.",WOS:000303205500023,Ieee T Power Syst,,"Dolan, M. J., Davidson, E. M., Kockar, I., Ault, G. W. and McArthur, S. D. J.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",24,10.1109/Tpwrs.2011.2177673,May,0885-8950,2,Ieee Transactions on Power Systems,active network management,distributed control,distributed generation,optimal power flow,generation,connection,firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,931GX,,790-799,7570,Journal Article,,,Distribution Power Flow Management Utilizing an Online Optimal Power Flow Technique,,,,,,,,,,,,,,,,,,,,,,35,Distribution Power Flow Management Utilizing an Online Optimal Power Flow Technique,,,,<Go to ISI>://WOS:000303205500023,27,,,2012,,Univ Strathclyde,Scotland
1921,,"In electrical power engineering, reinforcement learning algorithms can be used to model the strategies of electricity market participants. However, traditional value function based reinforcement learning algorithms suffer from convergence issues when used with value function approximators. Function approximation is required in this domain to capture the characteristics of the complex and continuous multivariate problem space. The contribution of this paper is the comparison of policy gradient reinforcement learning methods, using artificial neural networks for policy function approximation, with traditional value function based methods in simulations of electricity trade. The methods are compared using an AC optimal power flow based power exchange auction market model and a reference electric power system model.",WOS:000299506300039,Ieee T Power Syst,,"Lincoln, R., Galloway, S., Stephen, B. and Burt, G.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",42,10.1109/Tpwrs.2011.2166091,Feb,0885-8950,1,Ieee Transactions on Power Systems,artificial intelligence,game theory,gradient methods,learning control systems,neural network applications,power system economics,market power,efficiency,auctions,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,881RV,,373-380,7642,Journal Article,,,Comparing Policy Gradient and Value Function Based Reinforcement Learning Methods in Simulated Electrical Power Trade,,,,,,,,,,,,,,,,,,,,,,1,Comparing Policy Gradient and Value Function Based Reinforcement Learning Methods in Simulated Electrical Power Trade,,,,<Go to ISI>://WOS:000299506300039,27,,,2012,,Univ Strathclyde,Scotland
2144,,"An approach is proposed to solve multistage distribution network expansion planning problems considering future uncertainties, guiding the planner from production of expansion plans, evaluation of the plans under various future uncertain scenarios, to the selection of the best strategy. A new balanced genetic algorithm (BGA) is introduced that improves the intensification of the solution search procedure by trading-off diversification ability. This facilitates searching for the optimal solution, but also the efficient production of suboptimal solutions for the planner to take into consideration. The features of the BGA allow a multistage planning problem to be solved more efficiently; the BGA can consider a set of expansion plans in an early planning stage in a single run and produce planning strategies required to solve network problems in a later stage along the planning horizon. The overall performance of each plan under different uncertain scenarios is evaluated using a modified data envelopment analysis to assist decisions on which solution to adopt. The approach is applied to a multistage ""greenfield"" distribution network expansion problem considering scenarios for the location of future loads. The results clearly show the advantages of the approach over more conventional methods.",WOS:000289904200043,Ieee T Power Syst,,"Wang, D. T. C., Ochoa, L. F. and Harrison, G. P.","Smarter Grid Solut Ltd, Glasgow G2 2RU, Lanark, Scotland",34,10.1109/Tpwrs.2010.2057457,May,0885-8950,2,Ieee Transactions on Power Systems,data envelopment analysis,genetic algorithms,network planning,uncertainties,transmission expansion,genetic algorithm,tabu search,solve,branch,units,model,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,755CM,,897-904,7865,Journal Article,,,Modified GA and Data Envelopment Analysis for Multistage Distribution Network Expansion Planning Under Uncertainty,,,,,,,,,,,,,,,,,,,,,,28,Modified GA and Data Envelopment Analysis for Multistage Distribution Network Expansion Planning Under Uncertainty,,,,<Go to ISI>://WOS:000289904200043,26,,,2011,,Smarter Grid Solut Ltd,Scotland
2149,,"This paper presents a methodology for modeling and analyzing the load demand in a distribution system due to electric vehicle (EV) battery charging. Following a brief introduction to the common types of EV batteries and their charging characteristics, an analytical solution for predicting the EV charging load is developed. The method is stochastically formulated so as to account for the stochastic nature of the start time of individual battery charging and the initial battery state-of-charge. A comparative study is carried out by simulating four EV charging scenarios, i.e., uncontrolled domestic charging, uncontrolled off-peak domestic charging, ""smart"" domestic charging and uncontrolled public charging-commuters capable of recharging at the workplace. The proposed four EVs charging scenarios take into account the expected future changes to the electricity tariffs in the electricity market place and appropriate regulation of EVs battery charging loads. A typical U.K. distribution system is adopted as an example. The time-series data of EV charging loads is taken from two commercially available EV batteries: lead-acid and lithium-ion. Results show that a 10% market penetration of EVs in the studied system would result in an increase in daily peak demand by up to 17.9%, while a 20% level of EV penetration would lead to a 35.8% increase in peak load, for the scenario of uncontrolled domestic charging-the ""worst-case"" scenario.",WOS:000289904200032,Ieee T Power Syst,,"Qian, K. J., Zhou, C. K., Allan, M. and Yuan, Y.","Glasgow Caledonian Univ, Sch Engn & Comp, Glasgow G4 0BA, Lanark, Scotland",17,10.1109/Tpwrs.2010.2057456,May,0885-8950,2,Ieee Transactions on Power Systems,battery,charging,electrical distribution system,electric vehicle (ev),load model,impact,generation,chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,755CM,,802-810,7870,Journal Article,,,Modeling of Load Demand Due to EV Battery Charging in Distribution Systems,,,,,,,,,,,,,,,,,,,,,,175,Modeling of Load Demand Due to EV Battery Charging in Distribution Systems,,,,<Go to ISI>://WOS:000289904200032,26,,,2011,,Glasgow Caledonian Univ,Scotland
2156,,"The conventional means of assessing the performance of a wind turbine is through consideration of its power curve which provides the relationship between power output and measured wind speed. In this letter, it is shown how the joint probability distribution of power and wind speed can be learned from data, rather than from examination of the implied function of the two variables. Such an approach incorporates measures of uncertainty into performance estimates, allows inter-plant performance comparison, and could be used to simulate plant operation via sampling. A preliminary model is formulated and fitted to operational data as an illustration.",WOS:000289904200051,Ieee T Power Syst,,"Stephen, B., Galloway, S. J., McMillan, D., Hill, D. C. and Infield, D. G.","Univ Strathclyde, Inst Energy & Environm, Adv Elect Syst Res Grp, Glasgow G1 1XW, Lanark, Scotland",5,10.1109/Tpwrs.2010.2073550,May,0885-8950,2,Ieee Transactions on Power Systems,energy conversion,power generation reliability,wind power generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,755CM,,965-966,7877,Journal Article,,,A Copula Model of Wind Turbine Performance,,,,,,,,,,,,,,,,,,,,,,22,A Copula Model of Wind Turbine Performance,,,,<Go to ISI>://WOS:000289904200051,26,,,2011,,Univ Strathclyde,Scotland
2167,,"The problem of minimizing losses in distribution networks has traditionally been investigated using a single, deterministic demand level. This has proved to be effective since most approaches are generally able to also result in minimum overall energy losses. However, the increasing penetration of (firm and variable) distributed generation (DG) raises concerns on the actual benefits of loss minimization studies that are limited to a single demand/ generation scenario. Here, a multiperiod AC optimal power flow (OPF) is used to determine the optimal accommodation of (renewable) DG in a way that minimizes the system energy losses. In addition, control schemes expected to be part of the future Smart Grid, such as coordinated voltage control and dispatchable DG power factor, are embedded in the OPF formulation to explore the extra loss reduction benefits that can be harnessed with such technologies. The trade-off between energy losses and more generation capacity is also investigated. The methodology is applied to a generic U. K. distribution network and results demonstrate the significant impact that considering time-varying characteristics has on the energy loss minimization problem and highlight the gains that the flexibility provided by innovative control strategies can have on both loss minimization and generation capacity.",WOS:000286516100023,Ieee T Power Syst,,"Ochoa, L. F. and Harrison, G. P.","Univ Edinburgh, Inst Energy Syst, Sch Engn, Edinburgh EH9 3JL, Midlothian, Scotland",40,10.1109/Tpwrs.2010.2049036,Feb,0885-8950,1,Ieee Transactions on Power Systems,distributed generation,distribution networks,energy losses,optimal power flow,smart grids,wind power,optimal power-flow,distribution network,multiobjective index,distribution-system,time-series,optimization,allocation,reconfiguration,penetration,connection,,,,,,,,,,,,,,,,,,,,,,English,,,710MO,,198-205,7888,Journal Article,,,Minimizing Energy Losses: Optimal Accommodation and Smart Operation of Renewable Distributed Generation,,,,,,,,,,,,,,,,,,,,,,122,Minimizing Energy Losses: Optimal Accommodation and Smart Operation of Renewable Distributed Generation,,,,<Go to ISI>://WOS:000286516100023,26,,,2011,,Univ Edinburgh,Scotland
2316,,"Despite the technical challenges in properly accommodating distributed generation (DG), one of the major and well-recognized benefits is the ability of DG to defer future demand-related network investment. It is, however, often poorly represented in existing planning approaches and analysis ignores the potential security of supply benefits. Here, a novel, more integrated, approach is presented wherein reinforcements required by system security standards (e.g., N - 1) are also taken into account. The DG contributions to system security provided by U. K. Engineering Recommendation P2/6 are adopted, enabling the methodology to quantify the deferment produced by DG considering both demand growth- and system security-related investment. The methodology employs the successive elimination algorithm together with multi-stage planning and is applied to a generic, meshed, U.K. distribution network. Results show that, despite differences between technology types, significant economic benefits can be harnessed when strategically incorporating DG at the planning stage.",WOS:000285051800056,Ieee T Power Syst,,"Wang, D. T. C., Ochoa, L. F. and Harrison, G. P.","Univ Edinburgh, Sch Engn, Inst Energy Syst, Edinburgh EH9 3JL, Midlothian, Scotland",16,10.1109/Tpwrs.2009.2036361,May,0885-8950,2,Ieee Transactions on Power Systems,distributed generation,distribution networks,investment deferral,planning,distributed generation,benefits,dnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,691AH,,1134-1141,8037,Journal Article,,,DG Impact on Investment Deferral: Network Planning and Security of Supply,,,,,,,,,,,,,,,,,,,,,,28,DG Impact on Investment Deferral: Network Planning and Security of Supply,,,,<Go to ISI>://WOS:000285051800056,25,,,2010,,Univ Edinburgh,Scotland
2349,,"In this paper an analytical method by which the transient stability of an induction machine is maintained regardless of the fault clearance times is introduced. The method can be applied in order to improve the transient stability of a large penetration of low-voltage (LV) connected microgeneration that can be directly interfaced by single-phase induction generators within domestic premises. The analysis investigates the effectiveness of using resistive-type superconducting fault current limiters (RSFCLs) as remedial measures to prevent the microgenerators from reaching their speed limits during remote faults, and hence improving their transient stability. This will prevent unnecessary disconnection of a large penetration of LV-connected microgeneration and thus avoiding the sudden appearance of hidden loads, and unbalanced voltage conditions. The minimum required value of a resistive element of RSFCL for mitigating the transient instability phenomena of LV-connected microgeneration based on the system and connected machine parameters is determined. The analytical method has been validated by conducting informative transient studies by using detailed models of a small microwind turbine with constant mechanical output interfaced directly within residential dwellings by a single-phase induction generator, a transient model of resistive superconducting fault current limiter (RSFCL), and a typical suburban distribution network with residential loads. All the models are developed in the time-domain PSCAD/EMTDC dynamic simulation.",WOS:000285051800031,Ieee T Power Syst,,"Emhemed, A. S., Tumilty, R. M., Singh, N. K., Burt, G. M. and McDonald, J. R.","Univ Strathclyde, Dept Elect & Elect Engn, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",20,10.1109/Tpwrs.2009.2034859,May,0885-8950,2,Ieee Transactions on Power Systems,distribution networks,fault current limiters,single-phase induction generators,transient stability,generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,691AH,,885-893,8070,Journal Article,,,Analysis of Transient Stability Enhancement of LV-Connected Induction Microgenerators by Using Resistive-Type Fault Current Limiters,,,,,,,,,,,,,,,,,,,,,,18,Analysis of Transient Stability Enhancement of LV-Connected Induction Microgenerators by Using Resistive-Type Fault Current Limiters,,,,<Go to ISI>://WOS:000285051800031,25,,,2010,,Univ Strathclyde,Scotland
2374,,"Increasing connection of variable distributed generation, like wind power, to distribution networks requires new control strategies to provide greater flexibility and use of existing network assets. Active network management (ANM) will play a major role in this but there is a continuing need to demonstrate the benefit in facilitating connection of new generation without the need for traditional reinforcements. This paper proposes a multi-period AC optimal power flow (OPF)-based technique for evaluating the maximum capacity of new variable distributed generation able to be connected to a distribution network when ANM control strategies are in place. The ANM schemes embedded into the OPF include coordinated voltage control, adaptive power factor and energy curtailment. A generic U. K. medium voltage distribution network is analyzed using coincident demand and wind availability data derived from hourly time-series. Results clearly show that very high penetration levels of new variable generation capacity can be achieved by considering ANM strategies compared to the widely used passive operation (i.e., ""fit and forget""). The effects on network losses are also discussed.",WOS:000273930800011,Ieee T Power Syst,,"Ochoa, L. F., Dent, C. J. and Harrison, G. P.","Univ Edinburgh, Inst Energy Syst, Sch Engn, Edinburgh EH9 3JL, Midlothian, Scotland",32,10.1109/Tpwrs.2009.2031223,Feb,0885-8950,1,Ieee Transactions on Power Systems,active network management,distributed generation,distribution networks,optimal power flow,wind power,optimal power-flow,multiobjective index,time-series,generation,penetration,resources,systems,impact,,,,,,,,,,,,,,,,,,,,,,,,,English,,,548AI,,87-95,8095,Journal Article,,,Distribution Network Capacity Assessment: Variable DG and Active Networks,,,,,,,,,,,,,,,,,,,,,,98,Distribution Network Capacity Assessment: Variable DG and Active Networks,,,,<Go to ISI>://WOS:000273930800011,25,,,2010,,Univ Edinburgh,Scotland
2392,,"The effect of a short circuit fault and a voltage sag fault on a distributed grid-connected solid oxide fuel cell (SOFC) is investigated in this paper. The fuel cell is modeled in Simulink and the performance is verified against experimental load testing data. Grid faults are simulated, and conclusions are drawn on the fuel cell response and the effects of the fault condition on internal fuel cell parameters.",WOS:000273930800052,Ieee T Power Syst,,"Stewart, E. M., Tumilty, R., Fletcher, J., Lutz, A., Ault, G. and McDonald, J.","Univ Strathclyde, Glasgow G1 1XQ, Lanark, Scotland",32,10.1109/Tpwrs.2009.2036776,Feb,0885-8950,1,Ieee Transactions on Power Systems,distributed generation,inverter,integration power control,solid oxide fuel cell (sofc),power distribution-systems,transient analysis,dynamic-model,generation,simulation,operation,transport,circuits,mass,load,,,,,,,,,,,,,,,,,,,,,,,,English,,,548AI,,497-505,8113,Journal Article,,,Analysis of a Distributed Grid-Connected Fuel Cell During Fault Conditions,,,,,,,,,,,,,,,,,,,,,,6,Analysis of a Distributed Grid-Connected Fuel Cell During Fault Conditions,,,,<Go to ISI>://WOS:000273930800052,25,,,2010,,Univ Strathclyde,Scotland
2394,,"A step-by-step coordinated design procedure for power system stabilisers (PSSs) and automatic voltage regulators (AVRs) in a strongly coupled system is described in this paper. It is shown that it is possible to separate the design of individual PSSs and separate the design of individual AVRs. Thereby, the designs of AVR and PSS devices at a given machine can be coordinated to achieve near-optimal overall power system stability performance, including oscillation stability performance and transient stability performance. The proposed coordinated PSS/AVR design procedure is established within a frequency-domain framework and serves as a most useful small-signal complement to established large-signal transient simulation studies.",WOS:000273930800043,Ieee T Power Syst,,"Dysko, A., Leithead, W. E. and O'Reilly, J.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",24,10.1109/Tpwrs.2009.2036704,Feb,0885-8950,1,Ieee Transactions on Power Systems,multimachine systems,oscillation mode stabilization,power system stabiliser (pss) and automatic voltage regulator (avr) design,transient stability,frequency-response methods,oscillations,robust,performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,548AI,,413-422,8115,Journal Article,,,Enhanced Power System Stability by Coordinated PSS Design,,,,,,,,,,,,,,,,,,,,,,31,Enhanced Power System Stability by Coordinated PSS Design,,,,<Go to ISI>://WOS:000273930800043,25,,,2010,,Univ Strathclyde,Scotland
2425,,"The capacity of distributed generation (DG) connected in distribution networks is increasing, largely as part of the drive to connect renewable energy sources. The voltage step change that occurs on the sudden disconnection of a distributed generator is one of the areas of concern for distribution network operators in determining whether DG can be connected, although there are differences in utility practice in applying limits. To explore how voltage step limits influence the amount of DG that can be connected within a distribution network, voltage step constraints have been incorporated within an established optimal power flow (OPF) based method for determining the capacity of the network to accommodate DG. The analysis shows that strict voltage step constraints have a more significant impact on ability of the network to accommodate DG than placing the same bound on voltage rise. Further, it demonstrates that progressively wider step change limits deliver a significant benefit in enabling greater amounts of DG to connect.",WOS:000273930800031,Ieee T Power Syst,,"Dent, C. J., Ochoa, L. F. and Harrison, G. P.","Univ Edinburgh, Sch Engn, Edinburgh EH9 3JL, Midlothian, Scotland",39,10.1109/Tpwrs.2009.2030424,Feb,0885-8950,1,Ieee Transactions on Power Systems,load flow analysis,optimization methods,power generation planning,optimal power-flow,embedded generation,allocation,resources,systems,impact,tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,548AI,,296-304,8146,Journal Article,,,Network Distributed Generation Capacity Analysis Using OPF With Voltage Step Constraints,,,,,,,,,,,,,,,,,,,,,,55,Network Distributed Generation Capacity Analysis Using OPF With Voltage Step Constraints,,,,<Go to ISI>://WOS:000273930800031,25,,,2010,,Univ Edinburgh,Scotland
2754,,"The rise in temperatures induced by climate change may have important implications for Thailand's electricity demand. This paper investigates how changing climate will affect Thailand's daily, seasonal, and long-term electricity demand. Regression models are applied to capture daily load patterns across each month in the year. Temperature projections from the UK Hadley Centre climate model are then used to assess hourly sensitivity to changes in mean temperatures and diurnal temperature range. These are combined with four representative socioeconomic scenarios from the Intergovernmental Panel on Climate Change Special Report on Emission Scenarios to project absolute changes in Thailand's electricity demand. The specific climate and socioeconomic scenarios considered here indicate that mean annual temperatures in Thailand will rise by 1.74 to 3.43 degrees C by 2080, implying increases in Thai peak electricity demand of 1.5%-3.1% in the 2020s, 3.7%-8.3% in the 2050s, and 6.6%-15.3% in the 2080s.",WOS:000258032200069,Ieee T Power Syst,,"Parkpoom, S. and Harrison, G. P.","Univ Edinburgh, Joint Res Inst Energy, Inst Energy Syst, Sch Engn & Elect, Edinburgh EH9 3JL, Midlothian, Scotland",22,10.1109/Tpwrs.2008.922254,Aug,0885-8950,3,Ieee Transactions on Power Systems,climate change,electricity demand,load forecasting,thailand,cooling degree-hours,energy demand,load,variables,greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,331SF,,1441-1448,8475,Journal Article,,,Analyzing the impact of climate change on future electricity demand in Thailand,,,,,,,,,,,,,,,,,,,,,,21,Analyzing the impact of climate change on future electricity demand in Thailand,,,,<Go to ISI>://WOS:000258032200069,23,,,2008,,Univ Edinburgh,Scotland
2762,,"This letter presents the outcomes of a trial of an active network management (ANM) scheme on part of the North-Scotland electricity network. The ANM scheme has as its goal the facilitation of increased connections of distributed generation (DG) from renewable resources on the Orkney Isles. The ANM scheme is the first multigenerator application of ANM at distribution level in the U.K. The ANM scheme is briefly discussed prior to the trial of the ANM scheme being introduced. The implications of the trial for full ANM roll-out are discussed. The results of the trial of the ANM scheme are of direct relevance to those working in the areas of ANM, smart grids, and advanced distribution automation. The results confirm that wind farms can be controlled within the thermal constraints of a distribution network subject. to certain operating margin considerations.",WOS:000258032200079,Ieee T Power Syst,,"Currie, R. A. E., Ault, G. W., Fordyce, R. W., MacLeman, D. F., Smith, M. and McDonald, J. R.","Univ Strathclyde, Adv Elect Syst Res Grp, Glasgow G1 1XW, Lanark, Scotland",6,10.1109/Tpwrs.2008.926722,Aug,0885-8950,3,Ieee Transactions on Power Systems,active network management,distributed generation,renewable energy,flow management,connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,331SF,,1523-1524,8483,Journal Article,,,Actively managing wind farm power output,,,,,,,,,,,,,,,,,,,,,,17,Actively managing wind farm power output,,,,<Go to ISI>://WOS:000258032200079,23,,,2008,,Univ Strathclyde,Scotland
