,Abstract,Accession Number,Alternate Journal,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Language,Notes,Pages,Record Number,Reference Type,Short Title,Times Cited,Title,URL,Volume,Year
10,"In this paper, we consider the impact of cyber attacks on voltage regulation in distribution systems when a number of photovoltaic (PV) systems are connected. We employ a centralized control scheme that utilizes voltage measurements from sectionizing switches equipped with sensors. It is demonstrated that if measurements are falsified by an attacker, voltage violation can occur in the system. However, by equipping the control with a detection algorithm, we verify that the damage can be limited especially when the number of attacked sensors is small through theoretical analysis and simulation case studies. In addition, studies are made on attacks which attempt to reduce the output power at PV systems equipped with overvoltage protection functions. Further discussion is provided on how to enhance the security level of the proposed algorithm.",WOS:000379696800006,Ieee T Smart Grid,"Isozaki, Y., Yoshizawa, S., Fujimoto, Y., Ishii, H., Ono, I., Onoda, T. and Hayashi, Y.","Tokyo Inst Technol, Dept Computat Intelligence & Syst Sci, Yokohama, Kanagawa 2268502, Japan",23,10.1109/Tsg.2015.2427380,Jul,1949-3053,4,Ieee Transactions on Smart Grid,cyber security,distribution grid,photovoltaic power generation,voltage control,systems,generation,security,,,,,,,,,,,,,English,Dr1wy,1824-1835,14171,Journal Article,Detection of Cyber Attacks Against Voltage Control in Distribution Power Grids With PVs,0,Detection of Cyber Attacks Against Voltage Control in Distribution Power Grids With PVs,<Go to ISI>://WOS:000379696800006,7,2016
11,"Monitoring critical infrastructures is highly dependent on the accuracy of the installed sensors and the robustness of estimation algorithms. Data-injection attacks can degrade the operational reliability and security of any cyber-physical infrastructures. An attacker can compromise the integrity of the monitoring algorithms by hijacking a subset of sensor measurements and sending manipulated readings. Such approach can result in wide-area blackouts in power grids. This paper considers several cases of severe data-injections with high probabilities of information loss. To achieve an accurate supervision, a Bayesian-based approximated filter (BAF) has been proposed at each monitoring node using a distributed architecture. To maintain a reduced communication overhead and time complexity, upper and lower bound methods have been developed. The performance of the proposed technique has been demonstrated in a mature synchrophasor application known as the oscillation detection. Two test cases have been generated to examine the immunity of the proposed estimation scheme in New Zealand and Oman power grids. The tests were conducted in the presence of harsh data-injection attacks and multiple system disturbances. Results show the proposed BAF method can accurately extract the oscillatory parameters from the contaminated measurements.",WOS:000379696800028,Ieee T Smart Grid,"Khalid, H. M. and Peng, J. C. H.","Masdar Inst Sci & Technol, Dept Elect Engn & Comp Sci, Inst Ctr Energy, Abu Dhabi 54224, U Arab Emirates",35,10.1109/Tsg.2016.2544854,Jul,1949-3053,4,Ieee Transactions on Smart Grid,bayesian,cyber-physical systems,cyber security,data-injection attacks,inter-area oscillations,phasor measurement unit (pmu),power system monitoring,power system stability,real-time measurements,situational awareness,smart grid,synchrophasor,wide area monitoring system (wams),data injection attacks,power-system response,electromechanical oscillations,prony analysis,networks,grids,English,Dr1wy,2026-2037,14172,Journal Article,A Bayesian Algorithm to Enhance the Resilience of WAMS Applications Against Cyber Attacks,0,A Bayesian Algorithm to Enhance the Resilience of WAMS Applications Against Cyber Attacks,<Go to ISI>://WOS:000379696800028,7,2016
12,"In this paper, we present a suite of asynchronous distributed optimization algorithms for wide-area oscillation estimation in power systems using alternating direction method of multipliers (ADMMs). We first pose the estimation problem as a real-time, iterative, and distributed consensus problem. Thereafter, we consider a probabilistic traffic model for modeling delays in any typical wide-area communication network, and study how the delays enter the process of information exchange between distributed phasor data concentrators that are employed to execute this consensus algorithm in a coordinated fashion. Finally, we propose four different strategies by which the convergence rate and accuracy of this consensus algorithm can be made immune to the asynchrony resulting from the network traffic. We carry out extensive simulations to show possible numerical instabilities and sensitivities of the ADMM convergence on our proposed strategies. Our results exhibit a broad view of how the convergence of any distributed estimation algorithm in a generic cyber-physical system depends strongly on the uncertainties of the underlying communication models.",WOS:000379696800036,Ieee T Smart Grid,"Zhang, J. H., Nabavi, S., Chakrabortty, A. and Xin, Y. F.","North Carolina State Univ, Dept Elect & Comp Engn, Raleigh, NC 27695 USA",27,10.1109/Tsg.2016.2547939,Jul,1949-3053,4,Ieee Transactions on Smart Grid,distributed optimization,wide-area monitoring,mode estimation,alternating direction method of multipliers (admm),synchrophasors,distributed optimization,consensus,robust,,,,,,,,,,,,English,Dr1wy,2123-2133,14173,Journal Article,ADMM Optimization Strategies for Wide-Area Oscillation Monitoring in Power Systems Under Asynchronous Communication Delays,0,ADMM Optimization Strategies for Wide-Area Oscillation Monitoring in Power Systems Under Asynchronous Communication Delays,<Go to ISI>://WOS:000379696800036,7,2016
13,"This paper proposes a suite of algorithms to determine the active- and reactive-power setpoints for photovoltaic (PV) inverters in distribution networks. The objective is to optimize the operation of the distribution feeder according to a variety of performance objectives and ensure voltage regulation. In general, these algorithms take a form of the widely studied ac optimal power flow (OPF) problem. For the envisioned application domain, nonlinear power-flow constraints render pertinent OPF problems nonconvex and computationally intensive for large systems. To address these concerns, we formulate a quadratic constrained quadratic program (QCQP) by leveraging a linear approximation of the algebraic power-flow equations. Furthermore, simplification from QCQP to a linearly constrained quadratic program is provided under certain conditions. The merits of the proposed approach are demonstrated with simulation results that utilize realistic PV-generation and load-profile data for illustrative distribution-system test feeders.",WOS:000379696800031,Ieee T Smart Grid,"Guggilam, S. S., Dall'Anese, E., Chen, Y. C., Dhople, S. V. and Giannakis, G. B.","Univ Minnesota, Dept Elect & Comp Engn, Minneapolis, MN 55455 USA",34,10.1109/Tsg.2016.2543264,Jul,1949-3053,4,Ieee Transactions on Smart Grid,distribution networks,linearization,optimization,pv systems,residential distribution-systems,alternating direction method,photovoltaic inverters,optimal dispatch,reactive power,multipliers,grids,,,,,,,,,English,Dr1wy,2061-2070,14174,Journal Article,Scalable Optimization Methods for Distribution Networks With High PV Integration,0,Scalable Optimization Methods for Distribution Networks With High PV Integration,<Go to ISI>://WOS:000379696800031,7,2016
14,"This paper focuses on developing an interdisciplinary mechanism that combines machine learning, optimization, and data structure design to build a demand response and home energy management system that can meet the needs of real-life conditions. The loads of major home appliances are divided into three categories: 1) containing fixed loads; 2) regulate-able loads; and 3) deferrable loads, based on which a decoupled demand response mechanism is proposed for optimal energy management of the three categories of loads. A learning-based demand response strategy is developed for regulateable loads with a special focus on home heating, ventilation, and air conditioning (HVACs). This paper presents how a learning system should be designed to learn the energy consumption model of HVACs, how to integrate the learning mechanism with optimization techniques to generate optimal demand response policies, and how a data structure should be designed to store and capture current home appliance behaviors properly. This paper investigates how the integrative and learning-based home energy management system behaves in a demand response framework. Case studies are conducted through an integrative simulation approach that combines a home energy simulator and MATLAB together for demand response evaluation.",WOS:000379696800003,Ieee T Smart Grid,"Zhang, D., Li, S. H., Sun, M. and O'Neill, Z.","State Grid Tianjin Elect Power Co, Tianjin 300384, Peoples R China",55,10.1109/Tsg.2016.2552169,Jul,1949-3053,4,Ieee Transactions on Smart Grid,smart grid,demand response,home energy management,neural network,regression,optimization,dynamic electricity price,building energy consumption,model-predictive control,building climate control,residential appliances,price,uncertainty,consumption,electricity,environment,comfort,aware,,English,Dr1wy,1790-1801,14175,Journal Article,An Optimal and Learning-Based Demand Response and Home Energy Management System,0,An Optimal and Learning-Based Demand Response and Home Energy Management System,<Go to ISI>://WOS:000379696800003,7,2016
15,"This paper studies frequency regulation of power systems by using both automatic generation control (AGC) and load-side control. A switched distributed controller is designed for each load bus in a transmission network. The targets of the designed controller are twofold. First, it makes controllable loads work together with generators to restore the system frequency quickly after a real power mismatch occurs in the grid. Second, it restores controllable loads to their nominal working conditions. To achieve the first target, a consensus-based distributed load-side controller is designed. Peer-to-peer communication between loads is used to achieve an average consensus according to which controllable load reacts to the frequency deviation. To achieve the second target, the load-side controller shifts its duties to AGC slowly after the frequency goes back into an ideal region, and hence, controllable loads will restore to their nominal conditions gradually. A switching signal is designed to detect time instants when the load-side controller should work in the mode of frequency restoration or in the mode of load restoration.",WOS:000379696800038,Ieee T Smart Grid,"Liu, T., Hill, D. J. and Zhang, C. C.","Univ Hong Kong, Dept Elect & Elect Engn, Hong Kong, Hong Kong, Peoples R China",35,10.1109/Tsg.2016.2538287,Jul,1949-3053,4,Ieee Transactions on Smart Grid,frequency control,distributed load-side control,consensus,switching control,non-disruptive control,agc,stability,demand,,,,,,,,,,,,English,Dr1wy,2142-2153,14176,Journal Article,Non-Disruptive Load-Side Control for Frequency Regulation in Power Systems,0,Non-Disruptive Load-Side Control for Frequency Regulation in Power Systems,<Go to ISI>://WOS:000379696800038,7,2016
16,"Domestic energy usage patterns can be reduced to a series of classifications for power system analysis or operational purposes, generalizing household behavior into particular load profiles without noise induced variability. However, with AMI data transmissions over wireless networks becoming more commonplace data losses can inhibit classification negating the benefits to the operation of the power system as a whole. Here, an approach allowing incomplete load profiles to be classified while maintaining less than a 10% classification error with up to 20% of the data missing is presented.",WOS:000379696800018,Ieee T Smart Grid,"Harvey, P. R., Stephen, B. and Galloway, S.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",7,10.1109/Tsg.2016.2558459,Jul,1949-3053,4,Ieee Transactions on Smart Grid,load modeling,power systems,advanced metering infrastructure,,,,,,,,,,,,,,,,,English,Dr1wy,1944-1945,14177,Journal Article,Classification of AMI Residential Load Profiles in the Presence of Missing Data,0,Classification of AMI Residential Load Profiles in the Presence of Missing Data,<Go to ISI>://WOS:000379696800018,7,2016
17,"Distributed generation is increasingly being integrated into distribution networks worldwide, presenting new challenges for network operators and planners. In particular, the introduction of photovoltaic (PV) generation at the low voltage (LV) level has highlighted the ongoing need for more extensive and detailed modeling to quantify the full extent and nature of potential impacts. While a number of approaches have been developed to address the size of this problem, the most accurate and comprehensive approach is to carry out simulations for the entire network across multiple scenarios. However, this task is computationally complex and requires significant amounts of data. To address this challenge, this paper presents a simplified and computationally efficient methodology based around a two-bus equivalent model, which may be used to estimate the maximum voltage in an LV area due to PV generation over time. The developed model is validated against a full three-phase power flow approach for a real-world distribution network comprising 10 213 LV network areas. Furthermore, to highlight its utility, the model is used in a case study examining the effectiveness of reactive power injection for mitigating overvoltage due to PV generation.",WOS:000379696800015,Ieee T Smart Grid,"Santos-Martin, D. and Lemon, S.","Univ Canterbury, Dept Elect & Comp Engn, Christchurch 8140, New Zealand",24,10.1109/Tsg.2015.2500620,Jul,1949-3053,4,Ieee Transactions on Smart Grid,distribution network,photovoltaic systems,power system modeling,reactive power,voltage impact,,,,,,,,,,,,,,,English,Dr1wy,1924-1931,14178,Journal Article,Simplified Modeling of Low Voltage Distribution Networks for PV Voltage Impact Studies,0,Simplified Modeling of Low Voltage Distribution Networks for PV Voltage Impact Studies,<Go to ISI>://WOS:000379696800015,7,2016
18,"This paper studies the physical consequences of a class of unobservable state-and-topology cyber-physical attacks in which both state and topology data for a sub-network of the network are changed by an attacker to mask a physical attack. The problem is formulated as a two-stage optimization problem, which aims to cause overload in a line of the network with limited attack resources. It is shown that unobservable state-and-topology cyber-physical attacks as studied in this paper can make the system operation more vulnerable to line outages and failures.",WOS:000379696800027,Ieee T Smart Grid,"Zhang, J. Z. and Sankar, L.","Arizona State Univ, Sch Elect Comp & Energy Engn, Tempe, AZ 85281 USA",14,10.1109/Tsg.2016.2552178,Jul,1949-3053,4,Ieee Transactions on Smart Grid,cyber-physical system,false data injection attack,topology,state estimation,two-stage optimization,,,,,,,,,,,,,,,English,Dr1wy,2016-2025,14179,Journal Article,Physical System Consequences of Unobservable State-and-Topology Cyber-Physical Attacks,0,Physical System Consequences of Unobservable State-and-Topology Cyber-Physical Attacks,<Go to ISI>://WOS:000379696800027,7,2016
19,"Based on the current practice of charging peak demand, an expectation-oriented stochastic model is established for the demand contracting decision of electricity users. The resultant optimization problem is proved to be nonlinear but convex. Thus, the first-order optimality condition of the proposed model, which leads to an integral equation founded on the probability density function of the peak load, is used to derive the optimal contracting strategy for consumers. Simulation results support the convexity of the proposed model and the effectiveness of the proposed solution method under different demand charging rules and different consumption patterns of customers.",WOS:000379696800011,Ieee T Smart Grid,"Feng, D. H., Sun, T., Fang, C., Shi, Y. and Xu, S. L.","Shanghai Jiao Tong Univ, Sch Elect Informat & Elect Engn, Dept Elect Engn, Key Lab Control Power Transmiss & Convers,Minist, Shanghai 200240, Peoples R China",38,10.1109/Tsg.2015.2469736,Jul,1949-3053,4,Ieee Transactions on Smart Grid,demand side management,excessive demand,maximal demand,minimal charge,stochastic optimization,rates industrial customers,peak-load management,electricity demand,maximum demand,optimization,consumer,capacities,plants,model,,,,,,English,Dr1wy,1876-1885,14180,Journal Article,Optimal Demand Contracting Strategy Under Uncertainty and Its Implication for Advanced Pricing,0,Optimal Demand Contracting Strategy Under Uncertainty and Its Implication for Advanced Pricing,<Go to ISI>://WOS:000379696800011,7,2016
20,"Severe peak rebounds are likely in absence of a system-wide coordination among customers participating in demand response programs. This paper aims to establish a decentralized system-wide framework to coordinate demand response of residential customers in a smart grid. The objective of the framework is to modify system load profile provided that customers' payments are minimized, and their comfort and privacy are preserved. Home load management (HLM) modules, embedded in customers' smart meters are autonomous agents of the framework. The energy service provider iteratively exchanges load information with HLM modules in the hope of achieving his desired load profile. In each iteration, the service provider announces system load profile to HLM modules. The modules, keeping in mind their own financial and comfort constraints, nonsequentially send back load reschedule proposals to modify system load profile. The received proposals are judged whether they improve system load profile or not. HLM modules with accepted proposals apply their proposed schedules. The modified system load profile is then released, and HLM modules' new proposals are gathered and judged. This procedure is repeated to the point at which no further improvement in the system load profile can be experienced. Performance of the framework is shown by applying it to a system with 50 customers.",WOS:000379696800007,Ieee T Smart Grid,"Safdarian, A., Fotuhi-Firuzabad, M. and Lehtonen, M.","Sharif Univ Technol, Dept Elect Engn, Ctr Excellence Power Syst Management & Control, Tehran 1136511155, Iran",24,10.1109/Tsg.2015.2459753,Jul,1949-3053,4,Ieee Transactions on Smart Grid,decentralized approach,demand response,home load management (hlm),residential customers,smart grid,demand response,optimization,home,,,,,,,,,,,,English,Dr1wy,1836-1845,14181,Journal Article,Optimal Residential Load Management in Smart Grids: A Decentralized Framework,0,Optimal Residential Load Management in Smart Grids: A Decentralized Framework,<Go to ISI>://WOS:000379696800007,7,2016
